group,term,synonym,isWord,term_emoji
Частини тіла людини,Чоловічий статевий орган,агрегат,1,🍆
Частини тіла людини,Чоловічий статевий орган,антена,1,🍆
Частини тіла людини,Чоловічий статевий орган,апарат,1,🍆
Частини тіла людини,Чоловічий статевий орган,аргумент,1,🍆
Частини тіла людини,Чоловічий статевий орган,багатство,1,🍆
Частини тіла людини,Чоловічий статевий орган,балда,1,🍆
Частини тіла людини,Чоловічий статевий орган,банан,1,🍆
Частини тіла людини,Чоловічий статевий орган,бандура,1,🍆
Частини тіла людини,Чоловічий статевий орган,бен,1,🍆
Частини тіла людини,Чоловічий статевий орган,бидло,1,🍆
Частини тіла людини,Чоловічий статевий орган,біда,1,🍆
Частини тіла людини,Чоловічий статевий орган,бобик,1,🍆
Частини тіла людини,Чоловічий статевий орган,болванка,1,🍆
Частини тіла людини,Чоловічий статевий орган,болт,1,🍆
Частини тіла людини,Чоловічий статевий орган,бомко,1,🍆
Частини тіла людини,Чоловічий статевий орган,брехунець,1,🍆
Частини тіла людини,Чоловічий статевий орган,буйок,1,🍆
Частини тіла людини,Чоловічий статевий орган,булава,1,🍆
Частини тіла людини,Чоловічий статевий орган,бурулька,1,🍆
Частини тіла людини,Чоловічий статевий орган,буц,1,🍆
Частини тіла людини,Чоловічий статевий орган,вабик,1,🍆
Частини тіла людини,Чоловічий статевий орган,валек,1,🍆
Частини тіла людини,Чоловічий статевий орган,варган,1,🍆
Частини тіла людини,Чоловічий статевий орган,вар'ят,1,🍆
Частини тіла людини,Чоловічий статевий орган,васильок,1,🍆
Частини тіла людини,Чоловічий статевий орган,вася,1,🍆
Частини тіла людини,Чоловічий статевий орган,взацний член тіла,0,🍆
Частини тіла людини,Чоловічий статевий орган,визволювач,1,🍆
Частини тіла людини,Чоловічий статевий орган,викрутас,1,🍆
Частини тіла людини,Чоловічий статевий орган,вимагач,1,🍆
Частини тіла людини,Чоловічий статевий орган,вискочка,1,🍆
Частини тіла людини,Чоловічий статевий орган,відкривач,1,🍆
Частини тіла людини,Чоловічий статевий орган,відросток,1,🍆
Частини тіла людини,Чоловічий статевий орган,вламувач,1,🍆
Частини тіла людини,Чоловічий статевий орган,воловий ріг,0,🍆
Частини тіла людини,Чоловічий статевий орган,волохач,1,🍆
Частини тіла людини,Чоловічий статевий орган,воробчик,1,🍆
